first_name,last_name,address,city,state,postcode,date_of_birth,phone_number,email,user_name,password,ipv4,ipv6,mac_address,domain_name,url,color_name
Nando,Montes,"Pasaje Sarita Llano 792 Apt. 38 
Cáceres, 48432",Huelva,Valencia,41341,1998-01-17,+34739 188 536,,,6J7K#NvR#V,145.176.191.16,error_value,5c:a5:1e:7b:8e:9b,industrias.es,http://hnos.es/,Rosa
José Antonio,,"Cuesta de Jesusa Arcos 1
Alicante, 17530",,Melilla,INVALID,1927-07-07,+34948575651,,alcoleaelpidio,H^6BFjXo^E,60.29.55.180,d99f:62c6:655b:2056:1992:3776:2ebd:2d34,12:1d:b2:2b:7e:34,desarrollo.net,https://www.chus.com/,Amarillo dorado
Claudia,,"Paseo Marc Chaves 82 Apt. 18 
Cuenca, 24257",Barcelona,,38820,1996-10-31,+34928181449,nelidabustamante@example.org,maria-teresagimenez,H1161Tty*!,107.123.188.101,7332:151:bb23:df0c:40b1:9e32:cba4:7ba7,d8:b0:a9:67:a2:93,infraestructuras.com,http://comercial.es/,Verde limón
Mercedes,Arnaiz,"C. Pastor Elorza 82 Puerta 2 
Zamora, 47706",Palencia,Navarra,12124,1950-04-05,+34820382994,alleremiliano@example.com,natalio85,jFLoY5yn*@,error_value,b784:32a1:4a7:971a:3303:1374:9634:b70b,1a:c0:b7:43:ad:e3,construccion.com,https://www.infraestructuras.org/,Blanco lino
Amelia,Mateo,"Urbanización Marina Clavero 92 Apt. 30 
Las Palmas, 05253",,Málaga,36478,1940-05-27,INVALID,baudelio82@example.net,herreromatilde,D+l4Zrh+H0,error_value,777c:af50:1ffb:b80e:584c:1585:e8b7:8d,20:48:32:a6:a7:2b,error_value,https://www.banco.com/,Verde mar
Desiderio,,"Acceso de Ciríaco Navas 657 Apt. 69 
Asturias, 34124",Segovia,Álava,46510,1949-06-11,INVALID,criadoamado@example.net,aitor37,wQ1_X#Ms&Q,27.222.138.181,5b5f:cbc0:bf71:c1e4:1c4:5abf:d1bb:43a,42:e0:15:87:9e:aa,fabrica.com,error_value,Rosa profundo
Quirino,Armengol,"Plaza de Sonia Menéndez 266 Puerta 5 
Ourense, 48620",León,Granada,INVALID,1996-11-27,INVALID,geraldopenalver@example.org,gfalco,&c@8RGndPl,180.22.79.175,a231:9f63:f7:93f4:ab4d:b9b9:7dbe:205,84:f5:32:94:a1:3f,carballo.com,https://viana.es/,Orquídea púrpura oscuro
,Acevedo,"Paseo Claudio Ramirez 23
Palencia, 12431",,Las Palmas,15526,1953-06-08,INVALID,,,,60.225.151.140,b05c:cd0a:19f8:8776:1744:e5cf:db8b:3deb,6a:1c:92:94:81:f4,mulet.es,http://manufacturas.es/,Azul anciano
Porfirio,Bernal,"Via Julio César Villalonga 923
Baleares, 42528",Álava,Ávila,36707,1938-01-19,+34800267630,,dominguezbonifacio,eyD6VwS^*2,130.245.79.68,b83:76e0:a18c:2efa:e4a:4cf2:d5aa:6b30,error_value,agudo.es,error_value,Verde prado
Carmen,Poza,"Calle de Benita Zabala 189 Apt. 79 
Cáceres, 01893",Jaén,Asturias,INVALID,1958-04-04,+34 927747556,carreterojose@example.net,chitagil,$sQ_S+!s*6,8.142.158.48,37c2:77f8:4573:7136:54ae:b75e:cd38:d928,2e:71:d3:3b:84:0d,juan.org,https://talleres.net/,Azul medio
Julie,,"Acceso Verónica Alegre 73 Apt. 34 
Huesca, 03395",,La Rioja,INVALID,1968-03-16,+34974 80 25 44,manuelita90@example.com,antonio94,*U1egXSjJ&,135.108.161.227,error_value,20:b3:e7:02:46:51,error_value,https://pintor.com/,
,,"C. de Carmina Puente 370
León, 30921",Madrid,Ceuta,22873,32-13-2022,INVALID,cpelaez@example.org,avilar,QSG$Vqxs$1,190.173.106.186,d819:7772:38f6:a35e:8b3c:ad48:f4aa:d1ab,6a:4e:00:55:8b:29,comercial.es,error_value,Gris pizarra oscuro
Julio César,Catalán,"Plaza Nicanor Ramírez 18 Piso 4 
Valladolid, 45773",Granada,Cuenca,19244,1977-08-19,INVALID,canizaresgonzalo@example.com,ariel32,,error_value,bc7:bd5e:35dc:1686:cb11:96c0:e06:92d0,26:76:43:a5:17:0d,error_value,https://distribuciones.org/,
Piedad,Sanz,"Avenida de Eric Valenzuela 9 Puerta 1 
Ávila, 49998",Toledo,,19637,1930-06-25,+34 976830713,,lupecalzada,6WXT07EdW_,92.10.255.247,error_value,error_value,gargallo.es,https://www.tecnologias.com/,Azul acero claro
Candelario,Andreu,"Paseo Micaela Lladó 87
Barcelona, 11903",Soria,Cáceres,29288,32-13-2022,+34861411618,,mamen72,0@0739whmM,9.186.173.191,error_value,error_value,poza.es,https://www.manufacturas.es/,Verde pálido
Haydée,,"Pasaje de Cebrián Luz 29
Castellón, 28202",Castellón,Cuenca,28189,32-13-2022,+34 879 369 418,naguilar@example.net,,+gu7HWkpUr,147.134.255.60,e8be:204c:8fec:6125:e45b:25bb:3566:7d07,9a:b4:9f:4c:01:1d,comercializadora.es,https://rios.es/,Azul medianoche
Simón,Somoza,"Via de Matías Tenorio 81 Apt. 80 
Álava, 35467",Girona,Pontevedra,18069,1928-12-26,INVALID,alcalaarmando@example.net,ssanjuan,F$Hb9JA8_4,103.135.46.56,error_value,9c:bb:8f:03:ca:23,distribuciones.com,https://remigio.es/,Orquídea púrpura oscuro
Eloy,Cáceres,"Cuesta Haydée Acevedo 467
Santa Cruz de Tenerife, 49289",Salamanca,Almería,02441,32-13-2022,+34 807 375 315,teresitacal@example.com,bertoarranz,(g$d05GsYn,92.4.215.238,3df6:ed49:931f:461a:2089:5f1d:11cf:f01e,54:2f:e0:43:93:f2,camara.es,http://industrias.com/,Verde azulado
