first_name,last_name,address,city,state,postcode,date_of_birth,phone_number,email,user_name,password,ipv4,ipv6,mac_address,domain_name,url,color_name
,Samper,"Ronda de Guillermo Madrid 4 Piso 3 
Guadalajara, 25433",Cuenca,,23929,1990-04-12,+34824 74 27 65,joansabater@example.com,gema74,_^5HDeVKPN,83.69.238.46,6190:8d43:1a14:f61:bc9f:519:9bdd:ee76,d0:a7:76:95:cd:3a,familia.es,http://eloy.com/,Blanco lino
,Ayllón,"Callejón Javier Blanes 60 Apt. 18 
Tarragona, 20804",Ourense,La Rioja,14703,1930-07-12,INVALID,bllorens@example.net,sosaflorentino,(e1VHkdVHo,179.89.255.83,4d95:818:8a35:20c4:c748:9af8:4f7b:1fc9,da:72:46:4c:87:e6,fabrica.es,http://cabo.com/,Salmón oscuro
Rubén,,"Vial Ana Llopis 69
Huelva, 24624",Sevilla,Baleares,15243,1925-12-17,+34 807214727,nojeda@example.net,uaranda,E_PI22LefH,108.99.234.82,error_value,0c:3e:91:07:61:81,promociones.es,https://www.pedro.org/,Marrón
Gema,Toledo,"Pasaje de Alexandra Alsina 170
Ceuta, 44128",,Ávila,11101,2004-02-20,+34 872 17 88 47,hgras@example.com,hector70,&vf8AoANAm,139.90.96.198,error_value,b0:4e:9f:b6:b4:4b,familia.es,https://restauracion.es/,Lima
Marina,Daza,"Calle Ileana Rebollo 49 Puerta 8 
Tarragona, 37949",Córdoba,Castellón,03783,2011-03-23,+34 902 953 541,amor32@example.org,zamoranoramiro,,45.151.140.206,8e52:f8fd:8590:9996:fda1:faa6:961c:fa5,fa:e8:6b:5c:d2:6f,hilda.es,https://farmaceutica.es/,Ciruela
Isaías,,"Cañada Maite Calleja 37 Piso 1 
Asturias, 31222",Lugo,Cuenca,15846,1935-06-02,+34 824 05 75 49,encarna89@example.com,,,40.49.253.44,5b4a:eee7:8bce:ce04:5f16:b2f0:bc14:3f55,62:b2:b1:85:0e:e9,comercializadora.com,http://www.valdes.net/,Gris
,,"Vial Victor Pol 119
Huelva, 03553",Toledo,Cádiz,41662,2022-12-24,INVALID,venceslas12@example.net,,UsDZe^IQ+6,152.204.241.111,error_value,error_value,error_value,error_value,Gris pizarra claro
Óscar,,"C. Yéssica Mariscal 1 Puerta 0 
Ourense, 50305",,Córdoba,37973,1942-06-25,INVALID,,amorgomis,*wK9YEhs(3,170.108.115.177,f337:7c67:8ccd:a55f:321a:59d1:5de8:445e,aa:76:39:1e:24:68,grupo.com,http://www.promociones.es/,Marrón
Manuela,Bou,"Acceso Andrés Cortes 11
Navarra, 35441",Granada,Segovia,47201,1915-07-16,+34939 861 181,cabezaluciano@example.net,nelida23,@bvH4vYj^2,186.156.26.79,60b9:1ccb:297d:5f6b:1786:be5f:11d4:a5c6,error_value,tormo.org,http://www.montenegro.net/,Azul pizarra medio
Julieta,Torrijos,"Pasadizo Marcela Borrás 409 Puerta 1 
Guadalajara, 10607",Soria,Palencia,39279,1965-08-17,+34 927195213,garcesricarda@example.net,,*C_9mJKt!H,95.163.79.8,d893:53ea:b95f:5160:9564:4913:7a1d:f0b1,3e:d1:86:f5:78:a7,promociones.es,http://www.comercializadora.es/,Azul real
Xavier,Morales,"Paseo de Lupe Cuenca 576 Apt. 89 
Zamora, 15239",Almería,Huesca,32644,32-13-2022,+34971 525 280,,benignoledesma,W^E#2bBuOD,103.61.169.151,9204:f49c:49e8:1284:5375:3b64:fe9c:200b,7a:db:ce:18:83:8d,error_value,error_value,
Mario,Cañizares,"Callejón de Etelvina Carballo 54
Palencia, 24843",Melilla,León,40966,1995-04-28,+34901 365 281,,santos46,_&^Cfo&Or3,17.58.255.102,41eb:629c:8360:66dc:4c48:ebc9:41a5:705d,fa:95:f1:c0:04:22,logistica.com,error_value,Azul claro
Brunilda,Aller,"Callejón de Marino Sanz 3 Apt. 28 
León, 28978",Guipúzcoa,La Coruña,34209,1972-10-16,+34 928 602 454,blanestadeo@example.com,avilalucia,J6^nFwvF*5,132.162.149.132,2110:b85e:3457:a501:8cf0:6e6b:f73d:95df,error_value,margarita.org,http://www.fabrica.es/,Caqui oscuro
Geraldo,,"Camino Anselmo Mora 492
Cáceres, 35910",,Valencia,INVALID,32-13-2022,+34 982 40 78 37,lozanogustavo@example.net,jpablo,c(8oxRiK&l,53.195.50.47,bc6b:a6ad:ef12:ccc4:d0aa:27d1:c0bc:cf3a,error_value,servicios.com,http://www.servicios.net/,Azul violeta
