first_name,last_name,address,city,state,postcode,date_of_birth,phone_number,email,user_name,password,ipv4,ipv6,mac_address,domain_name,url,color_name
Sol,Vergara,"Calle de Macaria Ariza 5
Alicante, 37140",Alicante,,12051,1973-01-29,+34 887 81 14 79,javierainiesta@example.com,elorzacatalina,_6Igx9&m_+,134.58.178.111,1386:797e:3d0e:f394:9d0b:b390:8bc6:4dd8,6a:37:73:54:fe:7d,familia.com,https://rojas.es/,
Andrea,Campo,"Acceso Alfredo Girón 79
Badajoz, 06405",Lleida,Ceuta,22178,32-13-2022,+34807 42 71 50,pinillafabiana@example.net,bernabeguerra,+9K3t!cW!a,error_value,38f3:1203:a2b2:4f90:368b:550c:7c06:8c60,62:81:0b:49:4b:60,promociones.es,http://www.banca.com/,
Mayte,Palomino,"Callejón Manuelita Ibarra 59
La Coruña, 38161",Cuenca,Tarragona,29725,1952-01-25,+34 849454540,paula73@example.net,emiliano05,Jg9M*W(CS_,171.158.172.151,d84f:fd79:5aa4:8f95:304a:569:9a66:d4f3,aa:2a:31:fc:1a:a5,error_value,http://www.grupo.es/,Azul cielo claro
Catalina,Bárcena,"Camino Noé Sabater 99 Piso 1 
Badajoz, 21671",,Granada,22893,1919-02-23,+34 900808715,trecio@example.com,ktormo,,error_value,2951:ee28:9961:1306:3b58:b7e4:697c:6960,e0:ea:14:b3:a9:dd,manufacturas.com,https://www.compania.com/,Rosa profundo
Moreno,,"Glorieta de Paulino Huerta 70 Piso 5 
Valencia, 39033",Baleares,,42051,1945-06-19,+34 845777362,,,Jw5VGyX4#i,114.107.209.165,b649:4b45:4ec1:bb1c:8ff6:7ff3:d144:9334,26:b4:05:0b:f2:27,distribuciones.net,http://mancebo.es/,
Isaac,González,"Ronda de Saturnina Rubio 39
Guipúzcoa, 27331",Lleida,Ávila,45358,2007-01-23,+34900 29 28 16,,fberenguer,b5OT@&9k!e,25.213.225.181,c644:2e21:250b:face:1691:97f8:9ff2:75da,e2:fa:3f:4a:5b:36,chico.com,http://www.macaria.es/,
Jovita,Bilbao,"Glorieta de Vera Pinedo 21
Palencia, 41889",Albacete,,INVALID,1966-12-15,+34924044729,,,,error_value,b093:5886:8a01:dd3a:95d9:ccac:fe97:33d4,5a:4a:fe:94:f8:2f,gimenez.net,http://familia.com/,Naranja oscuro
,Segovia,"Avenida Anselmo Rosa 42 Apt. 79 
Murcia, 28203",Cuenca,,28016,2008-01-19,+34885 725 025,yfernandez@example.net,mohamed77,)+gStB*j8G,192.8.157.183,fa53:5123:7ca8:c045:94a9:60b9:8c83:d8e4,error_value,promociones.org,http://www.talleres.net/,Salmón oscuro
,Santamaria,"Vial de Dora Ferrández 73 Apt. 21 
Segovia, 06912",,Madrid,20873,1933-06-21,+34 984519996,valerio53@example.org,domitila94,#z1MBZdnn9,56.54.21.116,error_value,da:52:b6:a9:32:c9,duque.com,http://grupo.es/,Rojo ladrillo
,Durán,"Calle Jose Carlos Trillo 79
Asturias, 37933",Segovia,Ceuta,32016,1995-02-09,+34 914 09 01 10,,gabinomacias,$0kboCuuqx,32.16.77.56,d40b:385e:8a9e:e008:9a6f:df88:ff08:ec0e,28:42:a0:6f:4a:89,aguilo.com,http://www.hnos.com/,Azul azur
María Del Carmen,Jover,"Ronda Sandra Noriega 73 Puerta 3 
Badajoz, 48435",Navarra,,INVALID,1940-02-03,+34 826205979,aherranz@example.org,manuelolivera,B8TcN#hn_b,error_value,84d7:b8e2:aeba:1133:f939:a929:e79:4bd1,error_value,bejarano.com,error_value,Oro
Ester,Aranda,"Callejón de Ramona Rueda 64
Córdoba, 25396",Cádiz,Málaga,27268,32-13-2022,+34 947 59 85 06,,xanguita,e3vDurUb+P,error_value,5c63:6384:4e86:eaca:8bdd:271:105e:c1c0,8a:cf:fc:b1:72:ba,alimentacion.net,https://rivas.es/,Cian
Oriana,Carretero,"Glorieta de Sancho Tello 703
Madrid, 44863",Granada,,51223,2002-06-07,+34961 966 058,odalys32@example.com,miguelaortega,66(@1Xo86P,94.170.51.206,3862:23ef:8183:f125:1a73:823b:8194:668,f8:2e:fa:e7:4c:8d,larranaga.es,http://caparros.es/,Verde prado
,Plaza,"Ronda de Artemio Vendrell 101 Apt. 28 
Cuenca, 11478",Almería,Valladolid,27467,1927-01-27,+34946496889,adolfo74@example.com,eladioacosta,,6.174.109.84,a1df:4640:aed2:be71:39d:c2ef:ef9:4ff0,74:ac:86:9b:49:28,error_value,error_value,Gris pizarra oscuro
Cristina,,"Acceso Sergio Cueto 695
Melilla, 04196",León,La Coruña,06374,32-13-2022,+34 740680956,,estradacarlota,#6zyKW7ebe,159.13.150.81,df6:fbde:979b:706c:d205:3b27:2082:d5cb,ae:4f:39:51:48:13,fabrica.es,https://hotel.es/,Melón dulce
Constanza,Roura,"Glorieta Beatriz Gálvez 69 Puerta 1 
Ciudad, 20575",Salamanca,,26208,2018-01-12,+34874 318 247,ramona30@example.com,aconde,Hq3Yg9Cl!I,148.152.13.224,50e2:f740:fd30:88ef:a6a6:f803:ca55:d4f4,f2:af:7b:cf:fb:76,error_value,http://www.bayon.com/,Azul azur
