first_name,last_name,address,city,state,postcode,date_of_birth,phone_number,email,user_name,password,ipv4,ipv6,mac_address,domain_name,url,color_name
,Vera,"Via de Sebastian Perez 809 Piso 6 
Segovia, 20666",Navarra,,35693,1959-11-30,+34901818707,teo90@example.com,luis99,,21.208.29.156,8e3b:3131:44ff:56d9:353b:a80a:161c:a367,08:5c:8e:e8:3f:5e,error_value,https://www.ochoa.es/,Cyan oscuro
Baudelio,Baquero,"Cañada de Américo Montes 69 Apt. 56 
Valencia, 28206",Baleares,Vizcaya,44035,2002-06-05,+34807 40 12 44,melisalerma@example.net,,1&7PC4&nzJ,57.239.32.163,aff6:b3ac:709b:8fac:1eea:e511:2e7f:6ebe,58:3a:a7:dd:fa:19,dalmau.es,http://riquelme.net/,Marrón cuero
,Andrade,"Cuesta de Elba Verdejo 96
Salamanca, 44231",Burgos,Cuenca,14485,1977-07-11,+34 862 235 565,,anunciacion34,,error_value,ea1c:c911:bc16:49c:9049:70c2:daa4:ffb0,b4:8c:cd:07:63:28,error_value,http://www.teruel.es/,
Graciano,Sevillano,"Acceso de Cristina Palmer 82 Piso 6 
Granada, 30401",La Rioja,Pontevedra,05743,1960-04-14,+34 827646069,,,h$5A#4Zyc0,38.71.132.78,cbde:c359:302c:8a86:3fd9:bbc9:2186:b200,b6:bd:1e:04:d8:6e,infraestructuras.com,https://familia.org/,Azul cielo claro
Sancho,Peñas,"Plaza de Javiera Mendizábal 73
Tarragona, 34045",Salamanca,Melilla,41619,1939-12-07,+34 928648085,maria-del-carmen29@example.org,dionisiogargallo,gd13LpdX!N,36.185.86.94,ef80:2b47:dd4f:6f5a:e730:8b7a:907e:babd,18:9d:a1:83:6e:39,hnos.es,http://www.heredia.org/,Verde oliva oscuro
Bernardino,Alvarez,"Cañada Carolina Hernandez 76 Apt. 01 
Granada, 27556",Murcia,Ciudad,INVALID,1915-11-02,+34607 18 59 33,carmelo03@example.org,kcoll,$2T4cW_lRX,97.180.192.54,9b9d:3f35:476:b8cc:77bc:4fa8:856e:7d24,a2:2a:68:22:97:6b,soluciones.es,https://www.inversiones.net/,
,Andrade,"Vial de Modesto Báez 95
Burgos, 50249",Málaga,Palencia,INVALID,1961-01-01,+34921 656 135,,ivan93,$H)Gq3Rq46,9.150.8.177,56a8:9fd:8896:ad77:108a:4a4a:2392:ad3a,ee:bd:c5:6d:c8:48,error_value,http://banco.com/,Melón dulce
Lucio,Quero,"Pasadizo Alejandro Simó 880
Badajoz, 27011",Cuenca,Valencia,18424,32-13-2022,+34982 440 485,segismundo20@example.com,boadajosefina,*h7R&r9BK4,175.139.211.197,d371:64c8:e9a3:67b0:612d:9e29:2b00:d12f,b6:57:a1:a4:52:d4,soluciones.com,http://hnos.es/,Magenta
,Nicolau,"C. de Maxi Palomares 81 Puerta 4 
Cádiz, 18937",León,Granada,48951,1994-02-03,INVALID,carreterorita@example.org,ynogues,P_r6nGWo6V,81.60.90.129,f0c:abf9:b95b:82d4:dadf:a23a:306d:3279,74:d4:98:70:94:a1,sanabria.es,http://farmaceutica.es/,Marfil
,,"Pasaje de Serafina Herranz 63
Sevilla, 20587",Toledo,Burgos,51451,1972-02-25,+34821 645 240,carlotabello@example.com,florentino13,,9.88.32.199,9738:9066:2c0f:b888:421e:f025:d8bb:eab,aa:8f:80:86:9c:1d,instalaciones.com,http://www.supermercados.com/,Gris
