first_name,last_name,address,city,state,postcode,date_of_birth,phone_number,email,user_name,password,ipv4,ipv6,mac_address,domain_name,url,color_name
,Arnal,"Pasadizo Esmeralda Jerez 48 Apt. 88 
Madrid, 06531",Cantabria,Guipúzcoa,12580,1942-03-03,INVALID,,,F@1STJyDwO,132.128.159.250,e0a4:13c7:ecfe:97b:eda1:383b:688c:bdff,error_value,melendez.es,https://carmela.es/,Blanco humo
María Dolores,Sandoval,"Paseo Geraldo Rodriguez 99 Puerta 1 
Baleares, 06733",,Palencia,INVALID,2010-03-01,+34 703 91 34 74,ileana37@example.com,amoresflavio,^UWS5tpVP2,160.165.135.23,24ca:10b7:f665:500:5ef6:6f84:a8f3:b183,74:ca:48:35:67:43,comercializadora.com,https://pelayo.com/,Marfil
,Villalobos,"Rambla de Jenny Paz 2 Puerta 9 
Lleida, 32146",Barcelona,,30751,1909-07-01,+34848647455,ciprianomarti@example.org,srivera,,218.62.236.192,2978:f270:c781:b7d0:fec3:3923:6077:b6d4,20:d9:fc:8c:0f:2e,error_value,https://familia.com/,Turquesa
Andrea,Fernández,"Vial Cirino Pera 395 Apt. 85 
Girona, 15214",Huesca,Valladolid,INVALID,1948-04-06,+34 823 399 948,,,H21YuyCy!),190.135.77.246,925d:f958:9405:e67c:632:c1e1:b03c:d604,8c:ab:6a:5a:4f:21,vazquez.com,http://www.compania.es/,Amarillo
Maricruz,Soriano,"Paseo Bernarda Nadal 2 Piso 2 
Tarragona, 28659",Cádiz,Navarra,45452,2017-05-31,+34985 878 006,,jose-luis25,^os2jGHjpV,7.143.129.2,2d67:390b:1c1d:5b80:c7fd:b9d8:e544:9463,e0:12:32:c2:1a:92,error_value,https://www.logistica.com/,Amarillo dorado
Nilo,Moraleda,"Pasaje Pelayo Sastre 38
Cantabria, 43803",,La Rioja,15296,1951-11-12,INVALID,jose-mariagilabert@example.net,tnebot,,7.21.33.113,e35:9ea9:9bc8:1867:6c64:489f:bf86:13f1,28:fa:e1:a3:ce:04,error_value,http://agustina.com/,Salmón
Julie,Blazquez,"Rambla Juan Carlos Porta 1 Puerta 5 
Soria, 01793",Badajoz,Ceuta,44591,1995-08-15,+34 827215640,juanitacortes@example.com,rgalan,LB+6zKprt!,211.11.15.232,544b:4ed9:4ba2:5bc7:8beb:e2f2:d5e4:33d5,82:94:d3:b7:9e:7a,talleres.es,http://promociones.com/,
Loreto,Salmerón,"Acceso Nazaret Bautista 7 Puerta 0 
León, 48874",Teruel,Sevilla,37786,1993-08-09,+34 973 68 04 65,patricia53@example.com,gabinoquiroga,TiOD&m6y&7,105.166.64.212,90b9:61a0:467a:b5dd:613f:cd53:9372:4ce7,ac:2f:55:76:02:8f,escamilla.com,http://www.consultoria.com/,
Vasco,Tejedor,"Urbanización Herminia Jódar 45
Segovia, 33702",Zamora,Valladolid,24996,2020-02-21,+34979 115 130,edelmira71@example.net,vibanez,_95AZaW0*W,222.231.79.75,2268:981d:5c86:7cab:a7bd:2ff:7b6e:a233,26:1f:47:c0:f5:48,familia.com,http://www.tecnologias.com/,Verde mar claro
Francisco Javier,Estevez,"Cañada Juliana Seguí 72 Apt. 50 
Pontevedra, 03100",Salamanca,Lugo,INVALID,2014-07-22,+34886 29 66 87,isidrogoicoechea@example.net,martinezmarcela,!z7Whn9i^y,63.41.175.31,63b5:39ee:7a44:c6ae:72dd:5417:7365:c0c,2e:b1:8c:50:43:c1,error_value,http://www.sastre.com/,Azul marino
